id,CalendarDate,DayWeek,TypeDay
60,"2018-03-01",Четверг,Рабочий день
61,"2018-03-02",Пятница,Рабочий день
62,"2018-03-03",Суббота,Выходной день
63,"2018-03-04",Воскресенье,Выходной день
64,"2018-03-05",Понедельник,Рабочий день
65,"2018-03-06",Вторник,Рабочий день
66,"2018-03-07",Среда,Рабочий день
67,"2018-03-08",Четверг,Праздник
68,"2018-03-09",Пятница,Выходной день
69,"2018-03-10",Суббота,Выходной день
70,"2018-03-11",Воскресенье,Выходной день
71,"2018-03-12",Понедельник,Рабочий день
72,"2018-03-13",Вторник,Рабочий день
73,"2018-03-14",Среда,Рабочий день
74,"2018-03-15",Четверг,Рабочий день
75,"2018-03-16",Пятница,Рабочий день
76,"2018-03-17",Суббота,Выходной день
77,"2018-03-18",Воскресенье,Выходной день
78,"2018-03-19",Понедельник,Рабочий день
79,"2018-03-20",Вторник,Рабочий день
80,"2018-03-21",Среда,Рабочий день
81,"2018-03-22",Четверг,Рабочий день
82,"2018-03-23",Пятница,Рабочий день
83,"2018-03-24",Суббота,Выходной день
84,"2018-03-25",Воскресенье,Выходной день
85,"2018-03-26",Понедельник,Рабочий день
86,"2018-03-27",Вторник,Рабочий день
87,"2018-03-28",Среда,Рабочий день
88,"2018-03-29",Четверг,Рабочий день
89,"2018-03-30",Пятница,Рабочий день
90,"2018-03-31",Суббота,Выходной день
91,"2018-04-01",Воскресенье,Выходной день
92,"2018-04-02",Понедельник,Рабочий день
93,"2018-04-03",Вторник,Рабочий день
94,"2018-04-04",Среда,Рабочий день
95,"2018-04-05",Четверг,Рабочий день
96,"2018-04-06",Пятница,Рабочий день
97,"2018-04-07",Суббота,Выходной день
98,"2018-04-08",Воскресенье,Выходной день
99,"2018-04-09",Понедельник,Рабочий день
100,"2018-04-10",Вторник,Рабочий день
101,"2018-04-11",Среда,Рабочий день
102,"2018-04-12",Четверг,Рабочий день
103,"2018-04-13",Пятница,Рабочий день
104,"2018-04-14",Суббота,Выходной день
105,"2018-04-15",Воскресенье,Выходной день
106,"2018-04-16",Понедельник,Рабочий день
107,"2018-04-17",Вторник,Рабочий день
108,"2018-04-18",Среда,Рабочий день
109,"2018-04-19",Четверг,Рабочий день
110,"2018-04-20",Пятница,Рабочий день
111,"2018-04-21",Суббота,Выходной день
112,"2018-04-22",Воскресенье,Выходной день
113,"2018-04-23",Понедельник,Рабочий день
114,"2018-04-24",Вторник,Рабочий день
115,"2018-04-25",Среда,Рабочий день
116,"2018-04-26",Четверг,Рабочий день
117,"2018-04-27",Пятница,Рабочий день
118,"2018-04-28",Суббота,Рабочий день
119,"2018-04-29",Воскресенье,Выходной день
120,"2018-04-30",Понедельник,Выходной день
121,"2018-05-01",Вторник,Праздник
122,"2018-05-02",Среда,Выходной день
123,"2018-05-03",Четверг,Рабочий день
124,"2018-05-04",Пятница,Рабочий день
125,"2018-05-05",Суббота,Выходной день
126,"2018-05-06",Воскресенье,Выходной день
127,"2018-05-07",Понедельник,Рабочий день
128,"2018-05-08",Вторник,Рабочий день
129,"2018-05-09",Среда,Праздник
130,"2018-05-10",Четверг,Рабочий день
131,"2018-05-11",Пятница,Рабочий день
132,"2018-05-12",Суббота,Выходной день
133,"2018-05-13",Воскресенье,Выходной день
134,"2018-05-14",Понедельник,Рабочий день
135,"2018-05-15",Вторник,Рабочий день
136,"2018-05-16",Среда,Рабочий день
137,"2018-05-17",Четверг,Рабочий день
138,"2018-05-18",Пятница,Рабочий день
139,"2018-05-19",Суббота,Выходной день
140,"2018-05-20",Воскресенье,Выходной день
141,"2018-05-21",Понедельник,Рабочий день
142,"2018-05-22",Вторник,Рабочий день
143,"2018-05-23",Среда,Рабочий день
144,"2018-05-24",Четверг,Рабочий день
145,"2018-05-25",Пятница,Рабочий день
146,"2018-05-26",Суббота,Выходной день
147,"2018-05-27",Воскресенье,Выходной день
148,"2018-05-28",Понедельник,Рабочий день
149,"2018-05-29",Вторник,Рабочий день
150,"2018-05-30",Среда,Рабочий день
151,"2018-05-31",Четверг,Рабочий день
152,"2018-06-01",Пятница,Рабочий день
153,"2018-06-02",Суббота,Выходной день
154,"2018-06-03",Воскресенье,Выходной день
155,"2018-06-04",Понедельник,Рабочий день
156,"2018-06-05",Вторник,Рабочий день
157,"2018-06-06",Среда,Рабочий день
158,"2018-06-07",Четверг,Рабочий день
159,"2018-06-08",Пятница,Рабочий день
160,"2018-06-09",Суббота,Рабочий день
161,"2018-06-10",Воскресенье,Выходной день
162,"2018-06-11",Понедельник,Выходной день
163,"2018-06-12",Вторник,Праздник
164,"2018-06-13",Среда,Рабочий день
165,"2018-06-14",Четверг,Рабочий день
166,"2018-06-15",Пятница,Рабочий день
167,"2018-06-16",Суббота,Выходной день
168,"2018-06-17",Воскресенье,Выходной день
169,"2018-06-18",Понедельник,Рабочий день
170,"2018-06-19",Вторник,Рабочий день
171,"2018-06-20",Среда,Рабочий день
172,"2018-06-21",Четверг,Рабочий день
173,"2018-06-22",Пятница,Рабочий день
174,"2018-06-23",Суббота,Выходной день
175,"2018-06-24",Воскресенье,Выходной день
176,"2018-06-25",Понедельник,Рабочий день
177,"2018-06-26",Вторник,Рабочий день
178,"2018-06-27",Среда,Рабочий день
179,"2018-06-28",Четверг,Рабочий день
180,"2018-06-29",Пятница,Рабочий день
181,"2018-06-30",Суббота,Выходной день
182,"2018-07-01",Воскресенье,Выходной день
183,"2018-07-02",Понедельник,Рабочий день
184,"2018-07-03",Вторник,Рабочий день
185,"2018-07-04",Среда,Рабочий день
186,"2018-07-05",Четверг,Рабочий день
187,"2018-07-06",Пятница,Рабочий день
188,"2018-07-07",Суббота,Выходной день
189,"2018-07-08",Воскресенье,Выходной день
190,"2018-07-09",Понедельник,Рабочий день
191,"2018-07-10",Вторник,Рабочий день
192,"2018-07-11",Среда,Рабочий день
193,"2018-07-12",Четверг,Рабочий день
194,"2018-07-13",Пятница,Рабочий день
195,"2018-07-14",Суббота,Выходной день
196,"2018-07-15",Воскресенье,Выходной день
197,"2018-07-16",Понедельник,Рабочий день
198,"2018-07-17",Вторник,Рабочий день
199,"2018-07-18",Среда,Рабочий день
200,"2018-07-19",Четверг,Рабочий день
201,"2018-07-20",Пятница,Рабочий день
202,"2018-07-21",Суббота,Выходной день
203,"2018-07-22",Воскресенье,Выходной день
204,"2018-07-23",Понедельник,Рабочий день
205,"2018-07-24",Вторник,Рабочий день
206,"2018-07-25",Среда,Рабочий день
